Census Tract,Population,Housing Units in Tract,"LI, LA - 1 mile radius","LI, LA - 0.5 mile radius",Low Income Tracts,Poverty Rate (%),Median Family Income,LA - 1 mile radius,LA - 0.5 mile radius,"LA,LI - 0.5 mile radius","LA - Kids population, 0.5 mile radius","LA - Senior population, 0.5 mile radius","LA - Kids population, 1 mile radius","LA - Senior population, 1 mile radius","LA - Housing Units w/ Snap Benefits, 0.5 mile radius","LA - Housing Units w/ Snap Benefits, 1 mile radius",Total Count of Housing w/ Snap Benefits,Snap Percentage
42101020200,5189,1961,0,1,1,42.03351955,29583.0,0,1,3498.030432,1224.402231,737.6975545,,,733.8255811,,724,36
42101020300,2769,1059,0,0,1,40.21291209,25788.0,0,0,331.649094,98.99225423,47.17908112,,,74.50573085,,508,47
42101020400,3050,1130,0,0,1,38.2941989,35095.0,0,0,0.697368979,0.0,0.201405182,,,0.139026284,,380,33
42101020500,2819,1273,0,1,1,29.70545977,42528.0,0,1,344.3673353,128.9818347,56.89635069,,,92.7922284,,518,40
42101020600,1819,875,0,0,0,19.22261484,92083.0,0,1,220.2234227,93.30243895,77.19349669,,,26.6506622,,64,7
42101020700,5841,2505,0,0,0,11.85010791,108224.0,0,0,0.171428339,0.10252694,0.046148211,,,0.009067526,,217,8
42101020800,1971,1146,0,0,1,20.92198582,65278.0,0,0,68.27877697,20.83077153,55.1537928,,,4.125003689,,32,2
42101020900,2910,1368,0,0,0,12.15328467,98571.0,0,1,713.9818476,335.9749867,218.1249972,,,30.81509401,,30,2
42101021000,4917,2338,0,0,0,18.61463779,82756.0,0,1,591.7050632,76.94202929,128.2266165,,,62.2574018,,176,7
42101021100,2327,1114,0,0,0,14.72929936,95000.0,0,1,324.0450749,161.2811187,167.2217676,,,14.91736369,,28,2
42101021200,2245,1060,0,0,0,7.990411506,82800.0,0,0,92.9452964,53.57788445,56.88138653,,,14.98813388,,91,8
42101021300,3551,1551,0,0,0,10.89644513,73571.0,0,0,151.7532634,41.84696078,32.52022538,,,18.020482,,174,11
42101021400,3880,1809,0,1,1,21.09162756,97625.0,0,1,595.0918249,122.5487462,102.5629177,,,47.46511342,,92,5
42101021500,3857,1765,0,0,0,11.11940299,81154.0,0,1,518.8413047,192.0659185,164.1544871,,,47.65577039,,78,4
42101021600,1826,896,0,0,0,10.90989399,100724.0,0,0,54.30254907,20.15810584,14.86912038,0.0,0.0,5.600342588,0.0,49,5
42101021700,5772,2449,0,0,0,4.172876304,103654.0,0,1,425.2881613,254.6741673,233.1621429,,,50.85431128,,205,8
42101021800,4259,2173,0,1,1,15.15556404,53571.0,0,1,692.2965733,317.6195672,262.6796335,,,128.5351924,,218,10
42101021900,1432,689,0,0,0,4.261168385,94327.0,0,1,84.78558685,82.50651926,94.89295245,0.008635069,0.003838301,10.274964,0.00134812,23,3
42101022000,1681,718,0,0,0,1.07599193,138542.0,0,0,22.75188094,56.17820542,37.36650448,18.81584241,10.11993124,3.14829205,1.144459751,17,2
42101023100,1262,526,0,0,0,1.191362621,139750.0,0,1,5.331045401,133.8652842,53.81698522,,,3.031381791,,10,1
42101023500,1161,540,0,0,0,5.675877521,104773.0,0,1,156.4936565,126.3047719,115.8699112,,,3.727251318,,6,1
42101023600,2619,1095,0,0,0,5.909943715,123750.0,0,0,27.27315056,42.11570567,16.34337062,,,6.05111197,,80,7
42101023700,4566,2162,0,0,0,6.094403505,131719.0,0,1,122.9587059,271.0059105,87.73868175,,,74.69188432,,450,20
42101023800,4391,2077,0,0,0,11.52007648,103026.0,0,0,0.951609313,0.917050958,0.36299932,,,0.153460056,,190,9
42101023900,1777,1143,0,0,1,22.43767313,,0,0,1.379873753,0.0,1.779667139,,,0.410042107,,192,16
42101024000,3822,1851,0,0,0,19.85168283,73819.0,0,0,67.27288961,26.33502531,10.34016259,,,6.953337908,,275,14
42101024100,1433,733,0,0,1,46.63341646,39750.0,0,0,,,,,,,,324,44
42101024200,4236,1710,0,1,1,26.53834937,54760.0,0,1,1069.884498,647.9103725,178.8335757,,,250.9818998,,550,32
42101024300,3913,1723,0,1,1,30.65031983,44844.0,0,1,1789.261961,924.9990069,327.2246034,,,517.1635551,,461,26
42101024400,3129,1151,0,1,1,31.31191834,47674.0,0,1,1860.694902,883.9999886,296.9999941,,,507.2391478,,457,39
42101024500,4035,1531,0,1,1,52.85285285,22102.0,0,1,2378.87128,1145.198949,388.0589822,,,672.0258535,,757,49
42101024600,2956,1151,0,0,1,43.14136126,27973.0,0,0,252.340353,74.48303246,35.16384661,,,67.74153543,,617,53
42101024700,4423,1603,0,1,1,33.68345667,45872.0,0,1,396.3393124,269.7530976,124.2740632,,,131.8988337,,625,38
42101024800,1889,700,0,0,1,20.56737589,52556.0,0,0,,,,,,,,220,31
42101024900,3311,1194,0,1,1,39.93250844,31289.0,0,1,1104.67189,582.5486411,223.7829162,,,282.947088,,493,41
42101025200,7118,2783,0,0,1,29.49093037,45341.0,0,0,171.4625653,21.69063404,171.9553555,,,15.63310376,,872,31
42101025300,4002,1648,0,0,1,20.31618688,46282.0,0,0,56.00628114,49.0464201,22.3478601,,,20.52275765,,508,30
42101025400,3920,1816,0,0,1,11.33138564,70982.0,0,0,23.83961353,40.3014139,18.8247934,,,8.335527243,,267,14
42101025500,2571,1079,0,0,0,7.016300496,89568.0,0,1,141.528638,120.6227744,113.4711383,,,32.51945869,,145,13
42101025600,2742,1149,0,0,0,3.1544449,131875.0,0,1,73.50262526,217.9098839,223.6194594,,,61.00179121,,150,13
42101025700,3463,1885,0,0,0,8.426680244,84625.0,0,0,,,,,,,,13,0
42101025800,1681,761,0,0,0,15.01706485,72292.0,0,1,392.6871136,279.8808982,356.4152363,,,65.62295745,,68,8
